	xH	yH	xmaxH	ymaxH
529276	10.484559059239785	10.706559059239783	13.793440940760217	14.015440940760215
529351	8.114890353987722	12.711890353987723	11.788109646012277	16.38510964601228
529363	12.224748294475228	12.288748294475228	12.211251705524772	12.275251705524772
529461	9.534265230381855	10.082265230381857	14.417734769618143	14.965734769618145
529514	8.438401085078645	8.635401085078644	15.864598914921356	16.061598914921355
529526	10.733825833013057	13.298825833013058	11.201174166986942	13.766174166986943
529529	11.506590804733346	12.978590804733344	11.521409195266656	12.993409195266654
529828	8.76755962523321	9.51255962523321	14.98744037476679	15.73244037476679
529855	12.283202087507087	12.530202087507087	11.969797912492913	12.216797912492913
529886	11.481407078966718	11.701407078966717	12.798592921033283	13.018592921033282
529989	9.11626854727541	9.59226854727541	14.90773145272459	15.38373145272459
530004	8.361426164552983	9.105426164552982	15.394573835447018	16.13857383544702
530019	7.95310122063205	8.460101220632048	16.039898779367952	16.54689877936795
530025	12.8158829425612	13.377882942561198	11.122117057438802	11.6841170574388
530026	13.237960341895597	13.442960341895596	11.057039658104404	11.262039658104403
530033	11.279142374479887	12.503142374479888	11.996857625520112	13.220857625520113
530081	10.452637084220795	11.210637084220798	13.289362915779202	14.047362915779205
530123	6.427946737169728	10.06294673716973	14.43705326283027	18.072053262830273
530202	11.95854689985907	12.05254689985907	12.44745310014093	12.54145310014093
530213	11.522134709329436	11.894134709329435	12.605865290670565	12.977865290670564
530451	9.571711829536211	9.804711829536211	14.695288170463789	14.928288170463789
530468	9.612297713396371	9.665297713396372	14.834702286603628	14.887702286603629
530494	8.463732082798417	8.67773208279842	15.82226791720158	16.036267917201585
530507	12.356839018928925	12.561839018928923	11.938160981071077	12.143160981071075
530563	10.744054458195244	11.284054458195243	13.215945541804757	13.755945541804756
530673	12.085897582826663	12.310897582826664	12.189102417173336	12.414102417173337
530674	12.118609472750874	12.200609472750871	12.299390527249129	12.381390527249126
530713	11.176872406378498	11.2298724063785	13.2701275936215	13.323127593621502
